X,Y
1.0,14.934283060224654
2.0,7.234713976576307
3.0,27.95377076201385
4.0,50.46059712816051
5.0,20.31693250553328
6.0,25.31726086101639
7.0,66.58425631014782
8.0,55.348694583058176
9.0,35.610512281300956
10.0,60.85120087171929
11.0,45.73164614375075
12.0,50.68540492859486
13.0,69.83924543132068
14.0,31.73439510684404
15.0,40.501643349739346
16.0,68.75424941518054
17.0,64.74337759331152
18.0,96.28494665190547
19.0,76.83951848957578
20.0,71.75392597329417
21.0,134.31297537843108
22.0,105.4844739902693
23.0,116.35056409375848
24.0,91.50503627573087
25.0,114.11234550949635
26.0,132.21845179419734
27.0,111.98012845155395
28.0,147.51396036691344
29.0,132.9872262016239
30.0,144.16612500413447
31.0,142.96586775541206
32.0,197.04556369017877
33.0,164.73005550524132
34.0,148.845781420882
35.0,191.45089824206377
36.0,155.58312700057957
37.0,189.17727190009512
38.0,150.8065975224045
39.0,168.43627902203139
40.0,203.93722471738246
41.0,219.7693315999082
42.0,213.4273656237994
43.0,212.6870343522352
44.0,213.97792608821422
45.0,195.42956019265145
46.0,215.60311583210583
47.0,225.78722458080426
48.0,261.14244452437833
49.0,251.87236579136922
50.0,214.73919689274533
51.0,261.4816793878959
52.0,252.29835439167368
53.0,251.46155999388083
54.0,282.2335257768174
55.0,295.61999044991904
56.0,298.62560238232396
57.0,268.21564953554724
58.0,283.8157524829757
59.0,301.6252686280713
60.0,319.5109025424472
61.0,295.4165152430942
62.0,306.28682046672367
63.0,292.8733005198794
64.0,296.0758675183866
65.0,341.25051644788397
66.0,357.1248005714165
67.0,333.5597975683933
68.0,360.07065795784047
69.0,352.23272050095267
70.0,337.0976049078975
71.0,362.2279121101683
72.0,390.76073132931936
73.0,364.28347921780096
74.0,401.29287311628013
75.0,322.6050979182051
76.0,396.43805008750445
77.0,386.74094136476344
78.0,384.01985299068264
79.0,396.83521553071006
80.0,360.2486217079821
81.0,400.60656224324975
82.0,417.1422514302349
83.0,444.5578808948303
84.0,409.63459563452705
85.0,408.83012794213624
86.0,419.9648591283093
87.0,453.3080423540415
88.0,446.5750221931937
89.0,434.4047959246592
90.0,460.2653486622671
91.0,456.9415509869608
92.0,479.37289981065777
93.0,450.95893812245293
94.0,463.44675706804463
95.0,467.1578369373568
96.0,450.72970103735764
97.0,490.92240554129154
98.0,495.22110544359776
99.0,495.10226913284924
100.0,495.3082573324971
