Height,Weight
174.9671415,80.40671705
168.617357,82.20545188
176.4768854,86.52487011
185.2302986,88.60376294
167.6584663,83.02280457
167.6586304,85.8495695
185.7921282,102.3269936
177.6743473,89.71006271
165.3052561,83.94038002
175.4256004,87.34057064
165.3658231,73.08905546
165.3427025,82.53878185
172.4196227,86.51096241
150.8671976,87.74980934
152.7508217,75.41360601
164.3771247,83.69629907
159.8716888,79.76228555
173.1424733,80.72784647
160.9197592,86.17399369
155.876963,81.69814666
184.6564877,96.28340358
167.742237,79.32418122
170.675282,92.35161258
155.7525181,70.86700375
164.5561728,85.21237185
171.1092259,96.50689108
158.4900642,74.29235049
173.7569802,84.04700144
163.9936131,82.49506338
167.0830625,81.02415298
163.9829339,74.23814978
188.5227818,94.6042058
169.8650278,79.62099531
159.4228907,82.07940751
178.2254491,84.51560339
157.7915635,86.64545378
172.088636,82.12805151
150.4032988,73.5913418
156.7181395,82.42665584
171.9686124,79.8299846
177.3846658,89.82963257
171.7136828,92.39255518
168.8435172,76.38434242
166.988963,84.41765081
155.2147801,78.90680402
162.8015579,85.30989332
165.3936123,76.51205259
180.5712223,83.68332807
173.4361829,89.32779928
152.3695984,77.66972259
173.2408397,87.8728841
166.1491772,84.80682965
163.23078,78.21526639
176.1167629,89.21964993
180.3099952,91.62035998
179.3128012,86.08464351
161.6078248,90.13278494
166.9078762,85.82310273
173.3126343,80.69979967
179.7554513,93.16049368
165.2082576,77.73072046
168.1434102,88.00712814
158.9366503,85.26130303
158.0379338,74.91555529
178.1252582,93.87950976
183.5624003,93.84510478
169.2798988,88.75025019
180.035329,99.5016294
173.6163603,85.58123955
163.5488025,78.00572041
173.6139561,82.35940588
185.3803657,88.61113141
169.6417396,84.43536126
185.6464366,94.52897815
143.802549,73.28472848
178.219025,93.24542877
170.8704707,85.5002448
167.0099265,90.77263363
170.9176078,84.13551972
150.1243109,88.66300126
167.8032811,87.0299773
173.5711257,82.49977508
184.7789404,87.03500773
164.8172978,84.82101098
161.915064,79.84021806
164.9824296,86.06121725
179.1540212,91.94319871
173.2875111,86.27961099
164.702398,78.11723039
175.1326743,79.99210104
170.9707755,83.25281299
179.6864499,94.12521892
162.9794691,82.56020325
166.7233785,77.13299537
166.0789185,83.90536386
155.3648505,79.60901216
172.9612028,82.0613142
172.6105527,87.07390189
170.0511346,85.31661088
167.6541287,78.11221284
